Timestamp,Starbase_Buy,Price_Buy,Starbase_Sell,Price_Sell,Spread_Pct,Theoretical_Profit_SOL,Theoretical_zXP,Action
2026-02-15T00:19:35.011254,MUD Station,0.002906,ONI Sector,0.003574,22.98%,0.453407,653.88,VOLUME_EXECUTE
2026-02-15T00:19:55.021698,MUD Station,0.002816,ONI Sector,0.003385,20.21%,0.365906,633.57,VOLUME_EXECUTE
